label,Symbol,Frequency
282,\angle,240
283,\diamondsuit,111
284,\sharp,237
285,\backslash,260
286,\emptyset,950
287,\nabla,1217
288,\flat,127
289,\clubsuit,274
290,\heartsuit,910
291,\neg,843
292,\triangle,316
293,\sqrt{},978
294,\sphericalangle,103
295,\square,2179
296,\triangledown,194
297,\blacksquare,402
298,\lozenge,155
299,\varnothing,461
300,\vartriangle,112
301,\iddots,238
302,\mathcal{A},359
303,\mathcal{B},160
304,\mathcal{C},184
305,\mathcal{D},204
306,\mathcal{E},282
307,\mathcal{F},393
308,\mathcal{G},114
309,\mathcal{H},242
310,\mathcal{L},743
311,\mathcal{M},221
312,\mathcal{N},330
313,\mathcal{O},867
314,\mathcal{P},362
315,\mathcal{R},160
316,\mathcal{S},183
317,\mathcal{T},184
318,\mathcal{U},114
319,\mathcal{X},124
320,\mathcal{Z},156
321,\mathfrak{A},154
322,\mathfrak{M},110
323,\mathfrak{S},223
324,\mathfrak{X},115
325,\mathbb{1},948
326,\mathds{1},311
327,\mathds{C},417
328,\mathds{E},203
329,\mathds{N},1016
330,\mathds{P},198
331,\mathds{Q},222
332,\mathds{R},2378
333,\mathds{Z},1008
334,\mathscr{A},185
335,\mathscr{C},219
336,\mathscr{D},139
337,\mathscr{E},101
338,\mathscr{F},132
339,\mathscr{H},209
340,\mathscr{L},804
341,\mathscr{P},115
342,\mathscr{S},193
343,\celsius,329
344,\degree,671
345,\ohm,330
346,\venus,126
347,\mars,227
348,\astrosun,298
349,\fullmoon,142
350,\leftmoon,101
351,\female,176
352,\male,380
353,\checked,279
354,\diameter,195
355,\sun,163
356,\Bowtie,268
357,\mathbb{Q},53
358,\mathbb{N},51
359,\mathbb{Z},66
360,\mathbb{H},72
361,\ss,240
362,\aa,231
363,\L,99
364,\AA,758
365,\O,237
366,\o,314
367,\ae,286
368,\AE,149
369,\guillemotleft,107
